Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Mitsubishi Lancer Turbo 2L,17,25,2.0,4,1.05,A,CO
Mitsubishi Lancer 2L,25,33,2.0,4,1.05,F,CO
Mitsubishi Lancer Evolution 2L,17,22,2.0,4,1.00,A,CO
Mitsubishi Lancer Sportback Turbo 2L,17,25,2.0,4,1.09,A,SW
Mitsubishi Lancer Sportback 2L,25,32,2.0,4,1.09,F,SW
Nissan 370Z 3.7L,19,26,3.7,6,0.59,R,MC
Nissan 370Z Roadster 3.7L,18,25,3.7,6,0.56,R,MC
Nissan Altima 2.5L,23,32,2.5,4,1.16,F,MI
Nissan Altima 3.5L,20,27,3.5,6,1.16,F,MI
Nissan Altima Coupe 2.5L,23,32,2.5,4,0.97,F,SC
Nissan Altima Coupe 3.5L,20,27,3.5,6,0.97,F,SC
Nissan Cube 1.8L,27,31,1.8,4,1.09,F,SW
Nissan GT-R 3.8L,15,21,3.8,6,0.88,A,SC
Nissan Juke 1.6L,27,32,1.6,4,0.96,F,SW
Nissan Juke Awd 1.6L,25,30,1.6,4,0.96,A,SW
Nissan Maxima 3.5L,19,26,3.5,6,1.10,F,MI
Nissan Sentra 2.5L,24,30,2.5,4,1.10,F,MI
Nissan Sentra 2L,27,34,2.0,4,1.10,F,MI
Nissan Versa 1.6L,25,33,1.6,4,1.08,F,MI
Nissan Versa 1.8L,24,32,1.8,4,1.08,F,MI
Porsche 911 Carrera 3.6L,19,27,3.6,6,0.75,R,MC
Porsche 911 Carrera 4 3.6L,18,26,3.6,6,0.75,4,MC
Porsche 911 Carrera 4 Cabriolet 3.6L,18,26,3.6,6,0.73,4,MC
Porsche 911 Carrera 4 Targa 3.6L,18,26,3.6,6,0.75,4,MC
Porsche 911 Carrera 4S 3.8L,18,26,3.8,6,0.75,4,MC
Porsche 911 Carrera 4S Cabriolet 3.8L,18,27,3.8,6,0.73,4,MC
Porsche 911 Carrera 4S Targa 3.8L,18,27,3.8,6,0.75,4,MC
Porsche 911 Carrera Cabriolet 3.6L,19,27,3.6,6,0.73,R,MC
Porsche 911 Carrera S 3.8L,19,26,3.8,6,0.75,R,MC
Porsche 911 Carrera S Cabriolet 3.8L,19,27,3.8,6,0.73,R,MC
Porsche 911 GTS 3.8L,19,26,3.8,6,0.75,R,MC
Porsche 911 GTS Cabriolet 3.8L,19,27,3.8,6,0.73,R,MC
Porsche 911 Turbo Cabriolet 3.8L,16,24,3.8,6,0.75,R,MC
Porsche 911 Turbo Coupe 3.8L,17,25,3.8,6,0.75,R,MC
Porsche 911 Turbo S Cabriolet 3.8L,16,24,3.8,6,0.75,R,MC
Porsche 911 Turbo S Coupe 3.8L,17,25,3.8,6,0.75,R,MC
Porsche Panamera 3.6L,18,27,3.6,6,1.23,R,LA
Porsche Panamera 4 3.6L,18,26,3.6,6,1.23,4,LA
Porsche Panamera 4S 4.8L,16,24,4.8,8,1.23,A,LA
Porsche Panamera S 4.8L,16,24,4.8,8,1.23,R,LA
Porsche Panamera Turbo 4.8L,15,23,4.8,8,1.23,A,LA
Rolls-Royce Ghost 6.6L,13,20,6.6,12,1.25,R,LA
Rolls-Royce Phantom 6.7L,11,18,6.7,12,1.27,R,LA
Rolls-Royce Phantom Coupe 6.7L,11,18,6.7,12,1.09,R,CO
Rolls-Royce Phantom Drophead Coupe 6.7L,11,18,6.7,12,1.08,R,CO
Rolls-Royce Phantom EWB 6.7L,11,18,6.7,12,1.39,R,LA
Saab 9-3 Sedan Awd 2L,17,27,2.0,4,1.05,A,CO
Saab 9-3 Sport Sedan 2L,19,28,2.0,4,1.05,F,CO
Scion tC 2.5L,23,31,2.5,4,1.05,F,CO
Scion xB 2.4L,22,28,2.4,4,1.23,F,SW
Scion xD 1.8L,27,33,1.8,4,0.95,F,SC
Subaru Forester Awd 2.5L,21,27,2.5,4,1.42,A,SU
Subaru Impreza Awd 2.5L,20,26,2.5,4,1.05,A,CO
Subaru Impreza Outback Sport Awd 2.5L,20,26,2.5,4,1.13,A,SW
Subaru Legacy Awd 2.5L,23,31,2.5,4,1.18,A,MI
Subaru Legacy Awd 3.6L,18,25,3.6,6,1.18,A,MI
Subaru Outback Awd Wagon 2.5L,22,29,2.5,4,1.40,A,SU
Subaru Outback Awd Wagon 3.6L,18,25,3.6,6,1.40,A,SU
Subaru Tribeca Awd 3.6L,16,21,3.6,6,1.42,A,SU
Suzuki Kizashi 2.4L,23,30,2.4,4,1.05,F,CO
Suzuki Kizashi Awd 2.4L,22,29,2.4,4,1.05,A,CO
Suzuki Kizashi S 2.4L,23,31,2.4,4,1.05,F,CO
Suzuki Kizashi S Awd 2.4L,23,30,2.4,4,1.05,A,CO
Suzuki Swift + 1.6L,25,34,1.6,4,0.98,F,SC
Suzuki SX4 2L,23,30,2.0,4,0.98,F,SW
Suzuki SX4 Awd 2L,23,29,2.0,4,0.98,A,SW
Suzuki SX4 Sedan 2L,25,32,2.0,4,1.04,F,CO
Suzuki SX4 Sport Anniversary Edition 2L,23,30,2.0,4,1.04,F,CO
Toyota Avalon 3.5L,20,29,3.5,6,1.21,F,LA
Toyota Camry 2.5L,22,32,2.5,4,1.16,F,MI
Toyota Camry 3.5L,20,29,3.5,6,1.16,F,MI
Toyota Corolla 1.8L,26,34,1.8,4,1.04,F,CO
Toyota Corolla 2.4L,22,30,2.4,4,1.04,F,CO
Toyota Corolla Matrix 1.8L,25,32,1.8,4,1.14,F,SW
Toyota Corolla Matrix 2.4L,21,29,2.4,4,1.14,F,SW
Toyota Yaris 1.5L,29,35,1.5,4,1.00,F,SC
Volkswagen CC 2L,22,31,2.0,4,1.07,F,CO
Volkswagen CC 4motion 3.6L,17,25,3.6,6,1.07,A,CO
Volkswagen Eos 2L,22,30,2.0,4,0.88,F,SC
Volkswagen Golf 2.5L,24,31,2.5,5,1.09,F,CO
Volkswagen GTI 2L,24,33,2.0,4,1.09,F,CO
Volkswagen Jetta 2.5L,24,31,2.5,5,1.10,F,CO
Volkswagen Jetta 2L,23,29,2.0,4,1.10,F,CO
Volkswagen Jetta Sportwagen 2.5L,24,31,2.5,5,1.25,F,SW
Volvo C30 Fwd 2.5L,21,30,2.5,5,1.04,F,CO
Volvo C70 Fwd 2.5L,19,28,2.5,5,0.97,F,SC
Volvo S40 Fwd 2.5L,21,30,2.5,5,1.05,F,CO
Volvo S60 Awd 3L,18,26,3.0,6,1.06,A,CO
Volvo S80 Awd 3L,18,26,3.0,6,1.13,A,MI
Volvo S80 Fwd 3.2L,19,27,3.2,6,1.13,F,MI
Volvo V50 Fwd 2.5L,21,30,2.5,5,1.25,F,SW
Volvo XC60 Awd 3.2L,18,24,3.2,6,1.33,A,SU
Volvo XC60 Awd 3L,17,22,3.0,6,1.33,A,SU
Volvo XC60 Fwd 3.2L,18,25,3.2,6,1.33,F,SU
Volvo XC70 Awd 3.2L,18,24,3.2,6,1.35,A,SU
Volvo XC70 Awd 3L,17,22,3.0,6,1.35,A,SU
Volvo XC70 Fwd 3.2L,18,25,3.2,6,1.35,F,SU
